ENSEMBL_ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol	biotype
ENSG00000001084.10	1161.05905552285	0.498590969228739	0.19904408485267	22.1085026612361	0.000499304991670322	0.00965765616183727	GCLC	protein_coding
ENSG00000004534.14	1248.01221848223	0.0204865511700443	0.121155526883593	21.6648102509034	0.000606251024561933	0.0112928935260799	RBM6	protein_coding
ENSG00000004700.15	2941.82173734991	0.0780096893298959	0.131175962254541	18.6036721570547	0.0022776589915517	0.0292885388224328	RECQL	protein_coding
ENSG00000004799.7	16386.244491248	0.201469772509305	0.114265238458404	24.9965556892757	0.000139547316440848	0.00360372295081438	PDK4	protein_coding
ENSG00000005249.12	7549.70542516099	-0.120502254374081	0.133050606571441	19.0491946244431	0.00188199949459672	0.0256243046655386	PRKAR2B	protein_coding
ENSG00000005981.12	6388.33342306514	-0.321388102037463	0.0908100680759204	21.5045875762177	0.000650180757316994	0.011898403053741	ASB4	protein_coding
ENSG00000006007.11	1011.33506527489	-0.110435681019947	0.149165978070543	19.3522791835329	0.00165226221822667	0.0233205326589003	GDE1	protein_coding
ENSG00000006128.11	222.67331047464	1.93598083105961	0.58130776909304	60.5421490058503	9.39035942480004E-12	2.21453023491652E-09	TAC1	protein_coding
ENSG00000006327.13	692.993627139524	0.427987780761452	0.263677801517736	17.060620102106	0.0043862526600154	0.0470994604789798	TNFRSF12A	protein_coding
ENSG00000006451.7	1023.10058991075	0.399326917386576	0.187992893798847	17.2961241603099	0.00397111712608772	0.0438525323873603	RALA	protein_coding
ENSG00000006468.13	3141.08618069857	0.236211836328925	0.163838550963053	25.3508071221549	0.000119197520242253	0.00319878357397167	ETV1	protein_coding
ENSG00000006652.13	1128.58834901919	0.623671380426875	0.188785246962527	23.8281890505667	0.000234254160195576	0.00531387068654175	IFRD1	protein_coding
ENSG00000007541.16	336.491243476048	0.00427430936055036	0.233656355809047	16.9350582369508	0.00462462186681405	0.0485950453251443	PIGQ	protein_coding
ENSG00000010292.12	2310.01531368408	-0.0854156091966557	0.157879650564691	18.279416950065	0.0026158532439989	0.0322759621882944	NCAPD2	protein_coding
ENSG00000010803.16	487.021944633857	0.0927836027727179	0.189800505855169	18.9640895242016	0.00195196521356571	0.0264043432947596	SCMH1	protein_coding
ENSG00000011275.18	902.51942101899	0.236046459370604	0.149883403443398	17.5214078741869	0.0036100750576863	0.040871674045309	RNF216	protein_coding
ENSG00000011304.19	5869.72792257862	-0.228529554201999	0.0935522358922098	20.1866853158911	0.00115281911434148	0.0180113576376926	PTBP1	protein_coding
ENSG00000011426.10	2861.89444583393	-0.407832996986897	0.128721034756231	21.3574931961624	0.000693266104623791	0.0125037994829621	ANLN	protein_coding
ENSG00000011523.13	245.483734358897	-0.0801378570509437	0.209769204991168	18.975303598915	0.00194260197786524	0.0263630226900796	CEP68	protein_coding
ENSG00000012232.8	1073.26434675422	0.193275458609178	0.223286602100318	19.2442637854788	0.00173078984760336	0.0240368247835493	EXTL3	protein_coding
ENSG00000013392.7	140.892252447009	0.554061408491882	0.305440469238388	19.4986797871478	0.0015513908744912	0.0224430955327147	RWDD2A	protein_coding
ENSG00000014123.9	1142.22248898545	0.493364887835828	0.164358746951664	22.1651229463282	0.000487073023601879	0.00943864453023237	UFL1	protein_coding
ENSG00000015153.14	646.295489202091	0.126660537958179	0.15528030076248	16.8731116425607	0.00474683833258559	0.049321372745082	YAF2	protein_coding
ENSG00000015532.9	267.0826931415	-0.344004173111514	0.225390264557119	23.1764143437497	0.000312332846214486	0.00661669194039808	XYLT2	protein_coding
ENSG00000016864.18	1188.08699276564	0.133454080279064	0.134976108521613	25.4572998959912	0.000113675693509294	0.00308206614571076	GLT8D1	protein_coding
ENSG00000019549.9	636.381480635785	0.175707918107206	0.139392620983134	18.227576716012	0.00267430353433161	0.0328240085906823	SNAI2	protein_coding
ENSG00000021776.10	2056.59295624321	0.0708423064849452	0.112200913682749	18.7510789286744	0.00213846931715539	0.0282186410071583	AQR	protein_coding
ENSG00000022840.15	1627.51136368469	-0.630293749986413	0.175974072366168	30.976729058663	9.46687291083566E-06	0.000409434064057214	RNF10	protein_coding
ENSG00000023330.14	1216.27464768506	0.257007062789792	0.133986667290667	17.8679069663091	0.00311659203638441	0.0367830300170219	ALAS1	protein_coding
